38 Provinsi,,,,,
,Persentase Rumah Tangga Menurut Provinsi dan Fasilitas Tempat Buang Air Besar (Persen),,,,
,Sendiri,Bersama,Umum,Tidak ada,Jumlah
,2021,2021,2021,2021,2021
ACEH,80.38,3.61,3.26,12.22,99.47
SUMATERA UTARA,88.91,2.5,1.5,7.02,99.93
SUMATERA BARAT,79.04,5.73,3.62,11.37,99.76
RIAU,92.3,2.57,0.75,4.28,99.9
JAMBI,87.9,3.38,1.5,7.2,99.97
SUMATERA SELATAN,82.81,5.93,3.34,7.76,99.84
BENGKULU,88.62,3.28,0.94,7.08,99.92
LAMPUNG,91.92,4.69,0.79,2.57,99.98
KEP. BANGKA BELITUNG,92.46,2.12,2.13,3.15,99.86
KEP. RIAU,94.55,4.59,0.34,0.48,99.96
DKI JAKARTA,86.46,10.52,2.9,0.1,99.99
JAWA BARAT,86.16,7.37,2.94,3.47,99.94
JAWA TENGAH,88.66,6.05,1.09,4.15,99.95
DI YOGYAKARTA,83.8,14.72,0.85,0.58,99.96
JAWA TIMUR,83.8,7.89,1.22,7.01,99.91
BANTEN,88.04,3.21,1.08,7.52,99.86
BALI,85.95,11,0.06,2.97,99.97
NUSA TENGGARA BARAT,73.32,12.74,1.3,12.27,99.63
NUSA TENGGARA TIMUR,79.2,11.89,1.41,7.36,99.86
KALIMANTAN BARAT,84.5,3.99,1.6,9.78,99.87
KALIMANTAN TENGAH,84.6,7.74,6.95,0.71,100
KALIMANTAN SELATAN,87.24,8.26,3.3,1.02,99.83
KALIMANTAN TIMUR,93.53,3.67,0.97,1.71,99.89
KALIMANTAN UTARA,92.44,2.39,2.21,2.93,99.96
SULAWESI UTARA,81.86,9.74,1.87,6.47,99.93
SULAWESI TENGAH,76.9,4.72,4.13,14.15,99.9
SULAWESI SELATAN,88.62,6.93,1.28,3.1,99.93
SULAWESI TENGGARA,85.64,5.1,1.73,7.44,99.91
GORONTALO,67.43,11.68,8.48,12.34,99.93
SULAWESI BARAT,77.96,6.12,3.48,12.22,99.79
MALUKU,72.87,9.33,6.3,11.38,99.87
MALUKU UTARA,69.73,8.81,12.97,8.42,99.93
PAPUA BARAT,75.48,9.16,10,5.15,99.79
PAPUA BARAT DAYA,-,-,-,-,-
PAPUA,63.34,8.39,4.44,23.24,99.42
PAPUA SELATAN,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-
INDONESIA,85.51,6.75,2.04,5.59,99.9